National Mortality Rate by Cause Listed by State and Reporting Date Report    Sorted by State
Report Generated: 12/14/2021     16:53:38
                               WEEK          TOTAL         NATURAL      C19 MULTIPLE    C19 UNDERLYING
STATE                          ENDING        DEATHS        CAUSES          CAUSES           CAUSE
-----------------------------------------------------------------------------------------------------------
Alabama                        01/04/20      1082           1009              0               0
Alabama                        01/11/20      1127           1060              0               0
Alabama                        01/18/20      1039            976              0               0
Alabama                        01/25/20      1056            982              0               0
Alabama                        02/01/20      1026            949              0               0
Alabama                        02/08/20      1120           1028              0               0
Alabama                        02/15/20      1095           1020              0               0
Alabama                        02/22/20      1098           1018              0               0
Alabama                        02/29/20      1164           1093              0               0
Alabama                        03/07/20      1057            953              0               0
Alabama                        03/14/20      1091           1013              0               0
Alabama                        03/21/20      1059            986              0               0
Alabama                        03/28/20      1073            989             23              20
Alabama                        04/04/20      1156           1077             49              45
Alabama                        04/11/20      1135           1056             81              77
Alabama                        04/18/20      1149           1053             89              85
Alabama                        04/25/20      1139           1037             85              78
Alabama                        05/02/20      1147           1048             81              75
Alabama                        05/09/20      1171           1084            116             105
Alabama                        05/16/20      1148           1049             96              89
Alabama                        05/23/20      1153           1055             82              78
Alabama                        05/30/20      1109            999            103              99
Alabama                        06/06/20      1173           1071             91              86
Alabama                        06/13/20      1138           1031             81              75
Alabama                        06/20/20      1090           1007             88              81
Alabama                        06/27/20      1151           1064            103              95
Alabama                        07/04/20      1201           1112            125             119
Alabama                        07/11/20      1265           1177            135             122
Alabama                        07/18/20      1289           1201            192             172
Alabama                        07/25/20      1333           1257            251             241
Alabama                        08/01/20      1364           1269            263             238
Alabama                        08/08/20      1379           1288            264             253
Alabama                        08/15/20      1305           1207            230             214
Alabama                        08/22/20      1303           1219            209             197
Alabama                        08/29/20      1216           1129            185             175
Alabama                        09/05/20      1216           1132            156             142
Alabama                        09/12/20      1232           1148            138             130
Alabama                        09/19/20      1200           1132            139             134
Alabama                        09/26/20      1183           1109            105             100
Alabama                        10/03/20      1103           1010            111              99
Alabama                        10/10/20      1204           1120            137             127
Alabama                        10/17/20      1190           1114            126             112
Alabama                        10/24/20      1142           1056            119             112
Alabama                        10/31/20      1169           1093            131             119
Alabama                        11/07/20      1277           1183            151             141
Alabama                        11/14/20      1269           1186            176             165
Alabama                        11/21/20      1275           1176            168             155
Alabama                        11/28/20      1326           1237            202             186
Alabama                        12/05/20      1355           1259            251             239
Alabama                        12/12/20      1598           1509            378             362
Alabama                        12/19/20      1584           1485            390             363
Alabama                        12/26/20      1626           1554            452             422
Alabama                        01/02/21      1803           1702            509             480
Alabama                        01/09/21      1807           1705            546             527
Alabama                        01/16/21      1830           1739            595             569
Alabama                        01/23/21      1787           1688            579             546
Alabama                        01/30/21      1637           1559            490             460
Alabama                        02/06/21      1507           1409            344             331
Alabama                        02/13/21      1430           1334            263             247
Alabama                        02/20/21      1331           1251            214             192
Alabama                        02/27/21      1312           1218            170             152
Alabama                        03/06/21      1158           1050            110              93
Alabama                        03/13/21      1189           1092            104              93
Alabama                        03/20/21      1057            976             81              72
Alabama                        03/27/21      1189           1073             78              68
Alabama                        04/03/21      1104           1004             66              56
Alabama                        04/10/21      1205           1100             53              49
Alabama                        04/17/21      1165           1073             43              38
Alabama                        04/24/21      1103           1012             45              38
Alabama                        05/01/21      1191           1106             46              41
Alabama                        05/08/21      1150           1051             63              60
Alabama                        05/15/21      1093            992             50              46
Alabama                        05/22/21      1093           1007             49              39
Alabama                        05/29/21      1072            993             33              24
Alabama                        06/05/21      1079            982             36              31
Alabama                        06/12/21      1103           1003             34              31
Alabama                        06/19/21      1122           1018             24              17
Alabama                        06/26/21      1073            991             36              28
Alabama                        07/03/21      1056            949             21              20
Alabama                        07/10/21      1130           1024             37              34
Alabama                        07/17/21      1047            969             42              40
Alabama                        07/24/21      1099            992             63              57
Alabama                        07/31/21      1159           1077            107             101
Alabama                        08/07/21      1313           1220            226             212
Alabama                        08/14/21      1425           1345            342             325
Alabama                        08/21/21      1563           1479            418             399
Alabama                        08/28/21      1586           1524            469             452
Alabama                        09/04/21      1575           1485            492             471
Alabama                        09/11/21      1710           1625            538             521
Alabama                        09/18/21      1553           1466            466             448
Alabama                        09/25/21      1410           1318            404             388
Alabama                        10/02/21      1450           1346            356             342
Alabama                        10/09/21      1297           1213            245             233
Alabama                        10/16/21      1171           1045            202             190
Alabama                        10/23/21      1034            855            140             128
Alabama                        10/30/21       831            542             84              78
Alabama                        11/06/21       601            174             46              41
Alaska                         01/04/20        89             71              0               0
Alaska                         01/11/20       105             93              0               0
Alaska                         01/18/20        99             83              0               0
Alaska                         01/25/20        97             82              0               0
Alaska                         02/01/20        85             74              0               0
Alaska                         02/08/20        92             75              0               0
Alaska                         02/15/20        89             74              0               0
Alaska                         02/22/20        83             64              0               0
Alaska                         02/29/20        84             76              0               0
Alaska                         03/07/20        79             68              0               0
Alaska                         03/14/20        92             80              0               0
Alaska                         03/21/20        69             55              0               0
Alaska                         03/28/20        86             75              0               0
Alaska                         04/04/20        98             84              0               0
Alaska                         04/11/20        84             71              0               0
Alaska                         04/18/20        80             71              0               0
Alaska                         04/25/20        61             55              0               0
Alaska                         05/02/20        87             78              0               0
Alaska                         05/09/20        89             77              0               0
Alaska                         05/16/20        84             68              0               0
Alaska                         05/23/20        82             68              0               0
Alaska                         05/30/20        97             82              0               0
Alaska                         06/06/20        79             66              0               0
Alaska                         06/13/20        88             71              0               0
Alaska                         06/20/20        92             74              0               0
Alaska                         06/27/20        90             67              0               0
Alaska                         07/04/20        84             64              0               0
Alaska                         07/11/20       101             83              0               0
Alaska                         07/18/20        89             72              0               0
Alaska                         07/25/20        93             76              0               0
Alaska                         08/01/20       114             83              0               0
Alaska                         08/08/20       101             86              0               0
Alaska                         08/15/20        74             66              0               0
Alaska                         08/22/20       116            101              0               0
Alaska                         08/29/20        93             75              0               0
Alaska                         09/05/20       105             89              0               0
Alaska                         09/12/20        87             72              0               0
Alaska                         09/19/20       104             79              0               0
Alaska                         09/26/20       114             96              0               0
Alaska                         10/03/20        78             64              0               0
Alaska                         10/10/20       117             97              0               0
Alaska                         10/17/20       101             91             10               0
Alaska                         10/24/20       102             89              0               0
Alaska                         10/31/20       107             94             10               0
Alaska                         11/07/20       114             91              0               0
Alaska                         11/14/20       114             99             16              15
Alaska                         11/21/20       122            108             15              13
Alaska                         11/28/20       114            107             21              16
Alaska                         12/05/20       118            102             31              29
Alaska                         12/12/20       135            118             24              22
Alaska                         12/19/20        99             91             20              19
Alaska                         12/26/20       115            100             24              19
Alaska                         01/02/21       105             89             10              10
Alaska                         01/09/21       113             97             13              12
Alaska                         01/16/21       128            117              0               0
Alaska                         01/23/21        97             85              0               0
Alaska                         01/30/21        91             79              0               0
Alaska                         02/06/21        87             76              0               0
Alaska                         02/13/21        93             76              0               0
Alaska                         02/20/21        87             76              0               0
Alaska                         02/27/21        95             82              0               0
Alaska                         03/06/21        98             86              0               0
Alaska                         03/13/21        85             71              0               0
Alaska                         03/20/21       100             81              0               0
Alaska                         03/27/21        92             75              0               0
Alaska                         04/03/21        87             73              0               0
Alaska                         04/10/21       101             81              0               0
Alaska                         04/17/21        93             84              0               0
Alaska                         04/24/21        83             69              0               0
Alaska                         05/01/21       111             90              0               0
Alaska                         05/08/21        89             74             13              12
Alaska                         05/15/21        95             79             10               0
Alaska                         05/22/21        94             76              0               0
Alaska                         05/29/21       107             85              0               0
Alaska                         06/05/21        77             61              0               0
Alaska                         06/12/21        87             73              0               0
Alaska                         06/19/21       108             90              0               0
Alaska                         06/26/21        87             75              0               0
Alaska                         07/03/21       101             87              0               0
Alaska                         07/10/21        97             78              0               0
Alaska                         07/17/21       100             79              0               0
Alaska                         07/24/21        94             77              0               0
Alaska                         07/31/21       110             87             16              15
Alaska                         08/07/21       136            108             26              24
Alaska                         08/14/21       107             90             19              19
Alaska                         08/21/21       140            117             23              22
Alaska                         08/28/21       114             95             17              15
Alaska                         09/04/21       122            111             33              30
Alaska                         09/11/21       110             96             28              24
Alaska                         09/18/21       125            111             40              36
Alaska                         09/25/21       114            100             46              45
Alaska                         10/02/21       137            120             49              42
Alaska                         10/09/21       104             78             35              34
Alaska                         10/16/21        95             62             34              33
Alaska                         10/23/21        85             39             30              27
Alaska                         10/30/21        51             18             22              21
Alaska                         11/06/21        11              0              0               0
Arizona                        01/04/20      1301           1182              0               0
Arizona                        01/11/20      1391           1249              0               0
Arizona                        01/18/20      1315           1175              0               0
Arizona                        01/25/20      1275           1156              0               0
Arizona                        02/01/20      1265           1131              0               0
Arizona                        02/08/20      1264           1137              0               0
Arizona                        02/15/20      1314           1191              0               0
Arizona                        02/22/20      1342           1184              0               0
Arizona                        02/29/20      1353           1197              0               0
Arizona                        03/07/20      1380           1235              0               0
Arizona                        03/14/20      1349           1200              0               0
Arizona                        03/21/20      1290           1157              0               0
Arizona                        03/28/20      1324           1215             31              29
Arizona                        04/04/20      1357           1234             58              55
Arizona                        04/11/20      1403           1261             91              88
Arizona                        04/18/20      1316           1192             96              87
Arizona                        04/25/20      1384           1280            106              99
Arizona                        05/02/20      1404           1268            106              96
Arizona                        05/09/20      1427           1286            126             121
Arizona                        05/16/20      1306           1156            118             111
Arizona                        05/23/20      1289           1140             99              90
Arizona                        05/30/20      1310           1170            116             101
Arizona                        06/06/20      1399           1213            132             127
Arizona                        06/13/20      1463           1295            173             154
Arizona                        06/20/20      1550           1389            207             193
Arizona                        06/27/20      1617           1461            258             239
Arizona                        07/04/20      1774           1611            388             359
Arizona                        07/11/20      1954           1776            508             479
Arizona                        07/18/20      1995           1740            548             509
Arizona                        07/25/20      1863           1669            477             450
Arizona                        08/01/20      1791           1568            390             362
Arizona                        08/08/20      1586           1388            305             279
Arizona                        08/15/20      1526           1360            249             232
Arizona                        08/22/20      1505           1299            174             155
Arizona                        08/29/20      1467           1271            129             113
Arizona                        09/05/20      1296           1128             96              80
Arizona                        09/12/20      1282           1122             61              56
Arizona                        09/19/20      1259           1124             66              55
Arizona                        09/26/20      1285           1152             56              44
Arizona                        10/03/20      1202           1047             35              30
Arizona                        10/10/20      1241           1098             53              47
Arizona                        10/17/20      1236           1094             47              39
Arizona                        10/24/20      1282           1139             63              57
Arizona                        10/31/20      1312           1161             82              71
Arizona                        11/07/20      1399           1247            125             102
Arizona                        11/14/20      1252           1141            124             113
Arizona                        11/21/20      1525           1386            203             182
Arizona                        11/28/20      1531           1399            307             286
Arizona                        12/05/20      1696           1574            416             387
Arizona                        12/12/20      2004           1863            574             526
Arizona                        12/19/20      2098           1967            734             682
Arizona                        12/26/20      2205           2070            765             708
Arizona                        01/02/21      2300           2145            881             815
Arizona                        01/09/21      2422           2260            941             890
Arizona                        01/16/21      2455           2291            994             937
Arizona                        01/23/21      2396           2241            956             891
Arizona                        01/30/21      2058           1927            765             706
Arizona                        02/06/21      1909           1741            630             585
Arizona                        02/13/21      1687           1543            489             443
Arizona                        02/20/21      1552           1419            338             306
Arizona                        02/27/21      1516           1375            237             212
Arizona                        03/06/21      1494           1354            184             158
Arizona                        03/13/21      1411           1272            128             103
Arizona                        03/20/21      1390           1241            121              94
Arizona                        03/27/21      1288           1143             74              61
Arizona                        04/03/21      1346           1179             56              48
Arizona                        04/10/21      1273           1122             64              53
Arizona                        04/17/21      1319           1165             56              46
Arizona                        04/24/21      1250           1107             43              38
Arizona                        05/01/21      1278           1119             54              47
Arizona                        05/08/21      1413           1233             63              56
Arizona                        05/15/21      1323           1154             57              48
Arizona                        05/22/21      1254           1114             54              46
Arizona                        05/29/21      1250           1082             48              37
Arizona                        06/05/21      1331           1134             40              34
Arizona                        06/12/21      1300           1108             35              27
Arizona                        06/19/21      1356           1175             44              33
Arizona                        06/26/21      1384           1182             45              40
Arizona                        07/03/21      1324           1139             40              34
Arizona                        07/10/21      1298           1094             41              35
Arizona                        07/17/21      1359           1154             56              50
Arizona                        07/24/21      1257           1082             70              65
Arizona                        07/31/21      1298           1153            110             101
Arizona                        08/07/21      1504           1314            127             119
Arizona                        08/14/21      1467           1300            162             147
Arizona                        08/21/21      1491           1340            179             170
Arizona                        08/28/21      1586           1424            210             199
Arizona                        09/04/21      1617           1486            266             247
Arizona                        09/11/21      1606           1467            276             262
Arizona                        09/18/21      1615           1501            258             239
Arizona                        09/25/21      1560           1444            277             265
Arizona                        10/02/21      1598           1498            260             246
Arizona                        10/09/21      1523           1421            235             222
Arizona                        10/16/21      1477           1364            244             224
Arizona                        10/23/21      1402           1200            217             204
Arizona                        10/30/21      1333            995            231             216
Arizona                        11/06/21       971            428            164             154
Arkansas                       01/04/20       672            630              0               0
Arkansas                       01/11/20       686            629              0               0
Arkansas                       01/18/20       658            610              0               0
Arkansas                       01/25/20       616            576              0               0
Arkansas                       02/01/20       681            615              0               0
Arkansas                       02/08/20       673            637              0               0
Arkansas                       02/15/20       688            639              0               0
Arkansas                       02/22/20       697            650              0               0
Arkansas                       02/29/20       656            618              0               0
Arkansas                       03/07/20       697            631              0               0
Arkansas                       03/14/20       628            572              0               0
Arkansas                       03/21/20       640            593              0               0
Arkansas                       03/28/20       641            591              0               0
Arkansas                       04/04/20       606            561             11              11
Arkansas                       04/11/20       636            588             14              12
Arkansas                       04/18/20       637            573             12              11
Arkansas                       04/25/20       615            562             14              12
Arkansas                       05/02/20       630            567             22              18
Arkansas                       05/09/20       661            616             24              20
Arkansas                       05/16/20       583            533              0               0
Arkansas                       05/23/20       642            586             20              15
Arkansas                       05/30/20       610            555             19              14
Arkansas                       06/06/20       649            578             26              18
Arkansas                       06/13/20       652            587             34              33
Arkansas                       06/20/20       708            636             45              36
Arkansas                       06/27/20       663            598             47              38
Arkansas                       07/04/20       687            622             41              36
Arkansas                       07/11/20       661            589             47              42
Arkansas                       07/18/20       695            635             57              53
Arkansas                       07/25/20       714            659             74              67
Arkansas                       08/01/20       750            696             88              77
Arkansas                       08/08/20       736            682             91              81
Arkansas                       08/15/20       766            706             92              76
Arkansas                       08/22/20       750            687             99              84
Arkansas                       08/29/20       739            686             95              88
Arkansas                       09/05/20       713            648             88              81
Arkansas                       09/12/20       722            682            105              87
Arkansas                       09/19/20       736            675             81              65
Arkansas                       09/26/20       746            696             94              81
Arkansas                       10/03/20       784            726            116              99
Arkansas                       10/10/20       785            730            140             130
Arkansas                       10/17/20       778            726            147             126
Arkansas                       10/24/20       794            730            148             124
Arkansas                       10/31/20       790            736            147             127
Arkansas                       11/07/20       845            793            150             130
Arkansas                       11/14/20       893            842            195             168
Arkansas                       11/21/20       876            817            198             167
Arkansas                       11/28/20       833            789            232             207
Arkansas                       12/05/20       944            899            266             244
Arkansas                       12/12/20       912            859            222             207
Arkansas                       12/19/20       936            887            260             241
Arkansas                       12/26/20       922            870            255             218
Arkansas                       01/02/21       968            911            280             255
Arkansas                       01/09/21       963            910            260             244
Arkansas                       01/16/21       962            913            303             267
Arkansas                       01/23/21       983            927            284             256
Arkansas                       01/30/21       873            823            218             186
Arkansas                       02/06/21       863            812            170             145
Arkansas                       02/13/21       802            741            130             117
Arkansas                       02/20/21       773            713            101              87
Arkansas                       02/27/21       788            726             86              75
Arkansas                       03/06/21       743            676             73              62
Arkansas                       03/13/21       718            660             50              41
Arkansas                       03/20/21       643            588             40              36
Arkansas                       03/27/21       700            641             33              24
Arkansas                       04/03/21       600            546             21              17
Arkansas                       04/10/21       689            623             26              20
Arkansas                       04/17/21       608            547             16              11
Arkansas                       04/24/21       660            588             13              12
Arkansas                       05/01/21       647            582             18              12
Arkansas                       05/08/21       694            639             22              17
Arkansas                       05/15/21       687            631             29              25
Arkansas                       05/22/21       677            618             20              16
Arkansas                       05/29/21       649            574             15              12
Arkansas                       06/05/21       669            614             21              18
Arkansas                       06/12/21       658            590             20              17
Arkansas                       06/19/21       692            627             32              26
Arkansas                       06/26/21       658            600             34              31
Arkansas                       07/03/21       687            622             45              39
Arkansas                       07/10/21       681            630             61              56
Arkansas                       07/17/21       718            664             74              66
Arkansas                       07/24/21       729            679            117             107
Arkansas                       07/31/21       836            798            140             125
Arkansas                       08/07/21       895            850            190             178
Arkansas                       08/14/21       895            844            228             212
Arkansas                       08/21/21       851            816            226             211
Arkansas                       08/28/21       893            853            216             195
Arkansas                       09/04/21       856            813            213             195
Arkansas                       09/11/21       835            781            187             181
Arkansas                       09/18/21       871            816            169             160
Arkansas                       09/25/21       792            735            156             143
Arkansas                       10/02/21       811            768            144             139
Arkansas                       10/09/21       808            747            118             107
Arkansas                       10/16/21       723            656             85              78
Arkansas                       10/23/21       691            595             70              66
Arkansas                       10/30/21       648            459             64              59
Arkansas                       11/06/21       475            243             37              36
California                     01/04/20      5888           5437              0               0
California                     01/11/20      5873           5417              0               0
California                     01/18/20      5830           5387              0               0
California                     01/25/20      5832           5377              0               0
California                     02/01/20      5686           5281              0               0
California                     02/08/20      5911           5458              0               0
California                     02/15/20      5586           5156              0               0
California                     02/22/20      5797           5361              0               0
California                     02/29/20      5680           5217              0               0
California                     03/07/20      5736           5291              0               0
California                     03/14/20      5464           5031              0               0
California                     03/21/20      5681           5258             44              41
California                     03/28/20      5689           5288            132             128
California                     04/04/20      5985           5562            290             275
California                     04/11/20      6047           5609            382             370
California                     04/18/20      6131           5692            537             522
California                     04/25/20      5938           5487            531             514
California                     05/02/20      5744           5276            543             524
California                     05/09/20      5670           5206            552             524
California                     05/16/20      5694           5219            505             481
California                     05/23/20      5529           5064            487             465
California                     05/30/20      5593           5140            464             443
California                     06/06/20      5515           5032            448             425
California                     06/13/20      5569           5057            446             414
California                     06/20/20      5486           4997            458             419
California                     06/27/20      5701           5189            495             452
California                     07/04/20      5900           5358            644             599
California                     07/11/20      6039           5499            739             695
California                     07/18/20      6224           5684            891             832
California                     07/25/20      6248           5710           1009             920
California                     08/01/20      6339           5797           1009             950
California                     08/08/20      6309           5726            998             932
California                     08/15/20      6287           5747            876             808
California                     08/22/20      6475           5838            828             762
California                     08/29/20      5873           5319            728             670
California                     09/05/20      5775           5259            613             549
California                     09/12/20      5866           5298            530             481
California                     09/19/20      5748           5219            480             441
California                     09/26/20      5555           5030            453             406
California                     10/03/20      5664           5132            345             309
California                     10/10/20      5561           5033            375             334
California                     10/17/20      5610           5065            303             259
California                     10/24/20      5344           4832            295             267
California                     10/31/20      5520           5006            324             291
California                     11/07/20      5861           5291            354             319
California                     11/14/20      6000           5470            450             402
California                     11/21/20      6341           5861            627             578
California                     11/28/20      6385           5854            853             792
California                     12/05/20      7152           6642           1322            1228
California                     12/12/20      8139           7614           1969            1847
California                     12/19/20      9216           8705           2937            2765
California                     12/26/20     10549           9986           3935            3717
California                     01/02/21     11264          10679           4710            4492
California                     01/09/21     11907          11355           5258            5004
California                     01/16/21     11581          11036           5070            4778
California                     01/23/21     10410           9872           4347            4091
California                     01/30/21      9597           9060           3519            3317
California                     02/06/21      8771           8266           2890            2715
California                     02/13/21      7860           7336           2262            2084
California                     02/20/21      7016           6551           1658            1519
California                     02/27/21      6719           6184           1184            1095
California                     03/06/21      6449           5937            836             744
California                     03/13/21      6208           5692            605             522
California                     03/20/21      5993           5472            500             428
California                     03/27/21      5788           5287            365             298
California                     04/03/21      5745           5223            279             214
California                     04/10/21      5419           4889            266             223
California                     04/17/21      5344           4860            228             184
California                     04/24/21      5358           4852            218             171
California                     05/01/21      5383           4872            194             135
California                     05/08/21      5362           4829            181             128
California                     05/15/21      5252           4785            154             122
California                     05/22/21      5252           4752            154             121
California                     05/29/21      5341           4851            143             106
California                     06/05/21      5196           4711            115              95
California                     06/12/21      5170           4667            103              71
California                     06/19/21      5458           4931            112              87
California                     06/26/21      5332           4787             85              69
